Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 126.0.0.0,,,26-07-2024 10:21:22,26-07-2024 10:21:23,"0,635s",PASSED
"navigateToUrl(""https://auth-dev.epara.app/auth/realms/backoffice-realm/protocol/openid-connect/auth?client_id=wallet-ui&redirect_uri=https%3A%2F%2Fbackofficeui-dev.epara.app%2F&state=35683512-3c68-455f-8c96-a2a67ee6b247&response_mode=fragment&response_type=code&scope=openid&nonce=effcf8fb-10a7-4c94-8558-bfac2d2c9c71&code_challenge=Qqv-S2nSKnMQquGuG-ozo8X0KcCgWMTWKiL4xjtO70Y&code_challenge_method=S256"")",Chrome 126.0.0.0,,,26-07-2024 10:21:23,26-07-2024 10:21:24,"1,088s",PASSED
"setText(findTestObject(""Object Repository/Customer_Management_Detail/Page_E-Para Backoffice/input_E-mail_username""), ""ozlem.ozdemir@finartz.com"")",Chrome 126.0.0.0,,,26-07-2024 10:21:24,26-07-2024 10:21:24,"0,627s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Customer_Management_Detail/Page_E-Para Backoffice/input_Password_password""), ""JRVbc697Q+q9cSOs8Xgkxw=="")",Chrome 126.0.0.0,,,26-07-2024 10:21:24,26-07-2024 10:21:25,"0,273s",PASSED
"click(findTestObject(""Object Repository/Customer_Management_Detail/Page_E-Para Backoffice/input_Forgot Password_login""))",Chrome 126.0.0.0,,,26-07-2024 10:21:25,26-07-2024 10:21:27,"1,936s",PASSED
"click(findTestObject(""Object Repository/Customer_Management_Detail/Page_E-Para Backoffice/div_Customer Management""))",Chrome 126.0.0.0,,,26-07-2024 10:21:27,26-07-2024 10:21:30,"3,114s",PASSED
"click(findTestObject(""Object Repository/Customer_Management_Detail/Page_E-Para Backoffice/div_Individual""))",Chrome 126.0.0.0,,,26-07-2024 10:21:30,26-07-2024 10:21:30,"0,701s",PASSED
"click(findTestObject(""Object Repository/Customer_Management_Detail/Page_E-Para Backoffice/svg""))",Chrome 126.0.0.0,,,26-07-2024 10:21:30,26-07-2024 10:21:32,"2,040s",PASSED
"verifyElementText(findTestObject(""Object Repository/Customer_Management_Detail/Page_E-Para Backoffice/span_Information""), ""Information"")",Chrome 126.0.0.0,,,26-07-2024 10:21:32,26-07-2024 10:21:34,"1,631s",PASSED
"verifyElementText(findTestObject(""Object Repository/Customer_Management_Detail/Page_E-Para Backoffice/span_Information""), ""Information"")",Chrome 126.0.0.0,,,26-07-2024 10:21:34,26-07-2024 10:21:34,"0,235s",PASSED
closeBrowser(),Chrome 126.0.0.0,,,26-07-2024 10:21:34,26-07-2024 10:21:34,"0,096s",PASSED
